,game_time,road_team,home_team,road_points,home_points,w_l,money_line_final,spread_init,spread_final,spread_w_l,spread_odds_final,totals_init,totals_final,totals_w_l,totals_odds_final,margin,margin_odds,expectedTotals0,expectedTotals1,totals_diff
73,2015-04-09 07:30:00,IND,NYK,102,86,0.0,1.01,11.5,13.5,0,1.7,191.5,191.5,0,1.75,客16-20,4.7,198.44615384615383,193.8,-2.3000000000000114
74,2015-04-16 08:00:00,OKC,MIN,138,113,0.0,1.01,13.5,13.5,0,1.68,214.5,211.5,3,1.8,客21-25,5.1,210.5439024390244,202.95000000000002,11.549999999999983
75,2015-11-03 08:00:00,CLE,PHI,107,100,0.0,1.02,12.5,12.5,3,1.83,194.5,194.5,3,1.75,客6-10,3.3,208.5,194.5,0.0
76,2015-11-08 11:00:00,GSW,SAC,103,94,0.0,1.01,12.5,13.5,3,1.75,217.5,220.5,0,1.75,客6-10,3.5,226.95714285714286,215.25,2.25
77,2015-11-23 09:00:00,GSW,DEN,118,105,0.0,1.02,10.5,12.5,0,1.75,214.5,210.5,3,1.75,客11-15,3.85,219.5,216.65,-2.1500000000000057
78,2015-12-07 07:00:00,GSW,BKN,114,98,0.0,1.05,10.5,10.5,0,1.75,207.5,209.5,3,1.75,客16-20,5.1,217.95,214.4,-6.900000000000006
79,2015-12-08 08:00:00,SAS,PHI,119,68,0.0,1.01,11.5,13.5,0,1.75,189.5,187.5,0,1.75,客26+,6.65,203.29545454545456,187.7,1.8000000000000114
80,2015-12-24 09:00:00,SAS,MIN,108,83,0.0,1.04,10.5,11.5,0,1.82,197.5,194.5,0,1.81,客21-25,7.05,205.77758620689656,201.65,-4.150000000000006
81,2015-12-24 11:30:00,OKC,LAL,120,85,0.0,1.01,12.5,13.5,0,1.69,206.5,207.5,0,1.75,客26+,6.05,215.4655172413793,202.25,4.25
82,2015-12-26 11:30:00,LAC,LAL,94,84,0.0,1.02,11.5,12.5,3,1.75,206.5,207.5,0,1.75,客6-10,3.3,209.5811827956989,197.45,9.050000000000011
83,2016-01-06 11:30:00,GSW,LAL,109,88,0.0,1.0,11.5,14.5,0,1.82,212.5,212.5,0,1.7,客21-25,5.45,219.55396825396826,212.2,0.30000000000001137
84,2016-01-09 11:30:00,OKC,LAL,117,113,0.0,1.0,13.5,14.5,3,1.82,207.5,211.5,3,1.7,客1-5,7.0,215.31735419630155,202.25,5.25
